ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3146955,HK138025,01/21/2004 04:15:00 PM,033XX W DOUGLAS BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1021,010,24,29,08B,1154134,1893089,2004,02/28/2018 03:56:25 PM,41.862464088,-87.709672064,"(41.862464088, -87.709672064)"
3148174,HK141846,01/23/2004 04:38:00 PM,001XX N DEARBORN ST,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,CTA PLATFORM,true,false,0122,001,42,32,08B,1175928,1900994,2004,02/28/2018 03:56:25 PM,41.883693593,-87.629431622,"(41.883693593, -87.629431622)"
3148537,HK142968,01/23/2004 09:15:00 AM,080XX S KINGSTON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0422,004,7,46,04A,1194577,1852261,2004,02/28/2018 03:56:25 PM,41.749527785,-87.56255753,"(41.749527785, -87.56255753)"
3149609,HK144804,01/25/2004 03:50:00 AM,095XX S VINCENNES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,2213,022,21,73,14,1170578,1841619,2004,02/10/2018 03:50:01 PM,41.720880947,-87.650808427,"(41.720880947, -87.650808427)"
3155269,HK151126,01/28/2004 05:11:18 PM,106XX S BENSLEY AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0434,004,10,51,08A,1194549,1835055,2004,02/10/2018 03:50:01 PM,41.702313641,-87.563224189,"(41.702313641, -87.563224189)"
3155323,HJ819958,12/15/2003 07:50:00 PM,066XX S HALSTED ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,true,false,0723,007,6,68,18,1172109,1860955,2003,02/10/2018 03:50:01 PM,41.773908018,-87.644633853,"(41.773908018, -87.644633853)"
3155877,HJ844946,12/29/2003 11:40:00 PM,027XX W OGDEN AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,HOSPITAL BUILDING/GROUNDS,true,false,1023,010,28,29,26,1158136,1892799,2003,02/28/2018 03:56:25 PM,41.861587582,-87.694989104,"(41.861587582, -87.694989104)"
3160243,HK159284,05/16/2003 04:00:00 PM,058XX S WENTWORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,false,false,0233,002,20,68,07,1175968,1866184,2003,02/10/2018 03:50:01 PM,41.788171278,-87.630330891,"(41.788171278, -87.630330891)"
3160884,HK155840,01/31/2004 01:06:00 AM,078XX S ASHLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,0611,006,17,71,05,1167038,1852674,2004,02/28/2018 03:56:25 PM,41.751293775,-87.663459522,"(41.751293775, -87.663459522)"
3162228,HK160569,02/02/2004 03:10:00 PM,096XX S BRENNAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0431,004,7,51,14,1193219,1841633,2004,02/28/2018 03:56:25 PM,41.720396872,-87.56788007,"(41.720396872, -87.56788007)"
3162808,HK162160,02/03/2004 12:20:00 PM,048XX S WESTERN BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,NURSING HOME/RETIREMENT HOME,false,false,0915,009,12,61,26,1161337,1872619,2004,02/28/2018 03:56:25 PM,41.806145508,-87.683798928,"(41.806145508, -87.683798928)"
3163029,HK160495,02/02/2004 02:30:00 PM,011XX W 31ST ST,0460,BATTERY,SIMPLE,STREET,false,false,0923,009,11,60,08B,1169407,1884269,2004,02/28/2018 03:56:25 PM,41.837943107,-87.653863174,"(41.837943107, -87.653863174)"
3163535,HK161811,02/03/2004 07:30:00 AM,108XX S LOWE AVE,0810,THEFT,OVER $500,STREET,false,false,2233,022,34,49,06,1173904,1832895,2004,02/10/2018 03:50:01 PM,41.696868013,-87.638883745,"(41.696868013, -87.638883745)"
3164765,HK163357,02/03/2004 10:00:00 PM,045XX W GEORGE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2521,025,31,20,08B,1145408,1918890,2004,02/28/2018 03:56:25 PM,41.93343436,-87.741050536,"(41.93343436, -87.741050536)"
3166579,HK167479,02/06/2004 12:00:00 AM,066XX N GREENVIEW AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2432,024,40,1,07,1165066,1944257,2004,02/10/2018 03:50:01 PM,42.002647005,-87.668084683,"(42.002647005, -87.668084683)"
3169258,HK170113,02/07/2004 02:03:00 PM,032XX W CERMAK RD,0460,BATTERY,SIMPLE,GAS STATION,false,false,1022,010,24,30,08B,1155271,1889197,2004,02/28/2018 03:56:25 PM,41.851761264,-87.705602716,"(41.851761264, -87.705602716)"
3169367,HK168909,02/06/2004 07:00:00 PM,011XX W 50TH ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,VEHICLE NON-COMMERCIAL,false,false,0921,009,16,61,04B,1169641,1871644,2004,02/28/2018 03:56:25 PM,41.803293754,-87.653371139,"(41.803293754, -87.653371139)"
3169791,HK171422,02/07/2004 07:00:00 PM,029XX N SAWYER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1412,014,35,21,07,1154203,1919429,2004,02/10/2018 03:50:01 PM,41.934742141,-87.708714805,"(41.934742141, -87.708714805)"
3169905,HK171709,02/08/2004 04:00:00 AM,014XX W LAKE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1333,012,27,28,07,1166653,1901540,2004,02/10/2018 03:50:01 PM,41.885395569,-87.663474376,"(41.885395569, -87.663474376)"
3170455,HK169851,02/07/2004 09:14:00 AM,016XX N PARKSIDE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,2531,025,29,25,26,1138468,1910333,2004,02/28/2018 03:56:25 PM,41.910081729,-87.76676274,"(41.910081729, -87.76676274)"
3172159,HK169715,02/07/2004 10:27:13 AM,002XX S LAVERGNE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1533,015,28,25,08B,1143292,1898720,2004,02/28/2018 03:56:25 PM,41.8781255,-87.749331443,"(41.8781255, -87.749331443)"
3172926,HK171375,02/08/2004 03:00:00 AM,037XX S MICHIGAN AVE,0271,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN,RESIDENCE,false,false,0211,002,3,35,02,1177809,1880286,2004,02/28/2018 03:56:25 PM,41.826826922,-87.623153442,"(41.826826922, -87.623153442)"
3173541,HK176144,02/10/2004 07:25:00 PM,011XX E 82ND PL,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0411,004,8,45,08A,1185215,1850518,2004,02/28/2018 03:56:25 PM,41.744969833,-87.596917895,"(41.744969833, -87.596917895)"
